epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
41,0.7892015189310534,0.8108770917484132,1.1726209282824944,0.7146876758581879,0.7146876758581879,0.8683173888576252,"[0.052479061929931826, 0.06104569241614472, 0.03176259458584971, 0.040706394433965044, 0.02500800473375621, 0.016176764382989713, 0.020096259722276827, 0.24476788627243448]",0.052479061929931826,0.06104569241614472,0.03176259458584971,0.040706394433965044,0.02500800473375621,0.016176764382989713,0.020096259722276827,0.24476788627243448,0.061505332309668564
42,0.7622704823193116,0.8108770917484132,1.123635559522384,0.7073719752391672,0.7073719752391672,0.8947664603263928,"[0.05202978743506277, 0.05953878675844833, 0.03184556470668329, 0.04040286131686128, 0.024738045412084717, 0.01592231009441571, 0.01967997550931023, 0.24564465549198752]",0.05202978743506277,0.05953878675844833,0.03184556470668329,0.04040286131686128,0.024738045412084717,0.01592231009441571,0.01967997550931023,0.24564465549198752,0.06122524834060673
43,0.746561506318386,0.8180900173110214,1.1836945099564011,0.7045582442318514,0.7045582442318514,0.8700056274620146,"[0.05082621364454174, 0.057233106008990176, 0.03265371370753501, 0.041291287226100266, 0.024959398554778953, 0.015686735553387482, 0.019969157609289245, 0.24685513698293488]",0.05082621364454174,0.057233106008990176,0.03265371370753501,0.041291287226100266,0.024959398554778953,0.015686735553387482,0.019969157609289245,0.24685513698293488,0.06118434366094472
44,0.7156528842559186,0.8299192152336988,1.1511710574422365,0.7034327518289252,0.7034327518289252,0.8829487900956668,"[0.0519050015183046, 0.057816627091459974, 0.0324892225195838, 0.04103737584486076, 0.025004376244809175, 0.015189828146366902, 0.019807733135310684, 0.24681355687607012]",0.0519050015183046,0.057816627091459974,0.0324892225195838,0.04103737584486076,0.025004376244809175,0.015189828146366902,0.019807733135310684,0.24681355687607012,0.061257965172095745
45,0.6901280659292809,0.8348240046162724,1.1365641763124765,0.7124366910523354,0.7124366910523354,0.8778840742824986,"[0.05356691321542832, 0.05860788944356343, 0.032249921508721274, 0.04099407304282002, 0.025190316709209327, 0.014943533979364368, 0.019452466415069807, 0.24678968398299594]",0.05356691321542832,0.05860788944356343,0.032249921508721274,0.04099407304282002,0.025190316709209327,0.014943533979364368,0.019452466415069807,0.24678968398299594,0.06147434978714656
46,0.6523426170305122,0.8400173110213502,1.1610326593044327,0.7158131682611142,0.7158131682611142,0.8829487900956668,"[0.055542619465895594, 0.058652227806929885, 0.03213473596393215, 0.041271691063833646, 0.025480708120620133, 0.014824675441700743, 0.019227417926562303, 0.24851865510506277]",0.055542619465895594,0.058652227806929885,0.03213473596393215,0.041271691063833646,0.025480708120620133,0.014824675441700743,0.019227417926562303,0.24851865510506277,0.06195659136181715
47,0.6370998642298864,0.8537218695903058,1.0590520134804386,0.7366347777152504,0.7366347777152504,0.8936409679234665,"[0.05674057573801418, 0.059073145830746784, 0.03225550335875095, 0.041249994180423355, 0.025520825141553957, 0.014642123259383421, 0.019315905015498836, 0.2492933757449054]",0.05674057573801418,0.059073145830746784,0.03225550335875095,0.041249994180423355,0.025520825141553957,0.014642123259383421,0.019315905015498836,0.2492933757449054,0.06226143103365961
48,0.6206506124623506,0.8527120600115407,1.1818987892788204,0.7124366910523354,0.7124366910523354,0.871131119864941,"[0.05718110325802004, 0.058399403800020844, 0.032976228739981184, 0.04151008703666998, 0.025863174449676247, 0.014422278129409901, 0.019447529332031397, 0.24971530972571745]",0.05718110325802004,0.058399403800020844,0.032976228739981184,0.04151008703666998,0.025863174449676247,0.014422278129409901,0.019447529332031397,0.24971530972571745,0.062439389308940885
49,0.5913906354530185,0.8570398153491056,1.1025542029505386,0.7287563308947664,0.7287563308947664,0.8829487900956668,"[0.054674510741520015, 0.058965445387841604, 0.03320499471106868, 0.042019171792065844, 0.025900056101742445, 0.014133792458675206, 0.019485913962287216, 0.24972342812041282]",0.054674510741520015,0.058965445387841604,0.03320499471106868,0.042019171792065844,0.025900056101742445,0.014133792458675206,0.019485913962287216,0.24972342812041282,0.062263414159451726
50,0.573273628004832,0.8668493941142528,1.083258198270357,0.7248171074845244,0.7248171074845244,0.8897017445132246,"[0.056882788439492425, 0.06058706647700273, 0.032895041599751935, 0.04184989532688412, 0.025821150834755946, 0.013916368298168752, 0.019174491010614386, 0.24993001677539908]",0.056882788439492425,0.06058706647700273,0.032895041599751935,0.04184989532688412,0.025821150834755946,0.013916368298168752,0.019174491010614386,0.24993001677539908,0.06263210234525868
