epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
45,1.5841420689531127,0.6432487016733988,1.39705867732921,0.642656162070906,0.642656162070906,0.8441193021947102,0.06608830636491476,0.03958361724106513,0.03297265574939125,0.03722577815039755,0.028248419310836503,0.020049638087186756,0.02712826814451828,0.2136710974636067,0.05812097256398962
46,1.5874768117444875,0.6406520484708598,1.4027065432927,0.6488463702870005,0.6488463702870005,0.8418683173888576,0.06749749420816549,0.03949913837935268,0.033373210469764596,0.036753392500280306,0.02817177663891563,0.019665937316708952,0.02735649675004805,0.21500156462986234,0.05841487636163725
47,1.5088523921944554,0.6586843623773803,1.3576366313286292,0.6544738323016319,0.6544738323016319,0.8508722566122678,0.06834527114137458,0.03976299543786905,0.03356508958643713,0.03673179936803156,0.028174054849560693,0.019402096016938406,0.027272304030792362,0.21549075875127785,0.058593046147785204
48,1.530022217465657,0.6521927293710329,1.3523380673352645,0.6634777715250422,0.6634777715250422,0.839054586381542,0.07080853437050286,0.04083816881744865,0.03385076227692871,0.03690090883848091,0.028209404212226636,0.01909931778178629,0.027073133373363784,0.21644972087194386,0.05915374381783521
49,1.4612251334536859,0.6673398730525101,1.3039937749538453,0.670793472144063,0.670793472144063,0.8564997186268992,0.0735519179134327,0.0412386648518765,0.03425485899186749,0.037311691120569264,0.02818348717153694,0.01904604284321099,0.027073299256896388,0.21760498328467426,0.05978311817925807
50,1.4478542482976682,0.6703693017888055,1.343584473357607,0.670793472144063,0.670793472144063,0.8542487338210467,0.07464720802579267,0.042996672234687346,0.0347425697564905,0.037065194589120366,0.028022827263634406,0.018800621058047497,0.0271163914297058,0.21803862144094482,0.06017876322480292
51,1.4152277140193883,0.687536064627813,1.2880736504067487,0.6724817107484524,0.6724817107484524,0.8564997186268992,0.07738345568836699,0.0444171778090491,0.034624811729396236,0.03689173691458815,0.028033438860518047,0.018567438644596392,0.027009515673331496,0.21897438273577027,0.06073774475695208
52,1.398252083493489,0.6873918061165609,1.2938239357179457,0.6741699493528419,0.6741699493528419,0.855374226223973,0.07889262918709142,0.04527379250460231,0.03512430325692709,0.03680465003777928,0.02779937113757605,0.018388148283767634,0.02687507423800072,0.21965071771592404,0.06110108579520857
53,1.3718047532518292,0.6933064050778996,1.3155892291043638,0.674732695554305,0.674732695554305,0.8469330332020258,0.08037788505510197,0.04651200682947128,0.035470408037006344,0.03685513870282929,0.027784570768167764,0.018145020367494154,0.026770099657092122,0.22038521467103978,0.06153754301102534
54,1.37036547721326,0.698066935949221,1.2408935096398865,0.6826111423747889,0.6826111423747889,0.867191896454699,0.08243081799968759,0.04598778908903228,0.03593198596159597,0.03673926945165319,0.027647068892591577,0.017881772374411825,0.026636081293034092,0.22081625773986663,0.06175888035023415
55,1.3646362375085603,0.6990767455279862,1.2909356292270358,0.6792346651660102,0.6792346651660102,0.851435002813731,0.08381509566674746,0.04783333662900755,0.035847002851300505,0.03678373343652546,0.027312464357226566,0.017662860467305537,0.02674710004183268,0.22149382114560395,0.06218692682444371
56,1.3106225793611908,0.7088863242931333,1.2446972686429862,0.6904895891952729,0.6904895891952729,0.8559369724254361,0.08505371365434539,0.048804388010821126,0.0362223170458611,0.03716077245764184,0.027588359604369835,0.017574545619063683,0.026847800049860638,0.22222060912433148,0.06268406319578688
57,1.275775687229812,0.7211482977495672,1.2455332693121826,0.6826111423747889,0.6826111423747889,0.8598761958356781,0.08613976480295862,0.049819032860625216,0.03660425533698976,0.037411394714305914,0.02734762373034249,0.017379708327599098,0.02681762648380433,0.22298836299713162,0.06306347115671963
58,1.2607126554953323,0.7250432775533756,1.256531361189792,0.6814856499718627,0.6814856499718627,0.8683173888576252,0.08806889380611818,0.04998185604111267,0.03706136144885515,0.03737938320497732,0.02741983093771568,0.017212450026732506,0.02676639407155466,0.22373957732602867,0.06345371835788685
59,1.2609426120023277,0.727062896710906,1.2451426587464296,0.6792346651660102,0.6792346651660102,0.8655036578503095,0.0900488178677354,0.04948929220849219,0.0370519915550643,0.036839983190392826,0.02736558130539004,0.017091258495899195,0.0265060224596746,0.2240198339703805,0.06355159763162863
60,1.2100954990760953,0.7414887478361223,1.2609965444496527,0.666854248733821,0.666854248733821,0.8638154192459201,0.09269160333861817,0.048520171904035306,0.03703385933962365,0.03732593227114173,0.027272800486755542,0.01686308339292855,0.02671115451388888,0.22515531835575703,0.06394674045034361
61,1.2263625539847862,0.7348528563185228,1.2159974806328124,0.6859876195835678,0.6859876195835678,0.8773213280810355,0.09484178023497389,0.0511311911638719,0.03740893411805421,0.03730417781772635,0.027085859430635836,0.016716194335493782,0.0265315924163783,0.2253089623459397,0.06454108648288424
62,1.1966753170977003,0.736728216964801,1.1943978108131565,0.7000562746201463,0.7000562746201463,0.8818232976927406,0.0952698209877378,0.052658037871968974,0.03727572740953002,0.037406851189379635,0.027168861568622023,0.016507732621617876,0.026385567463672193,0.22600207409027573,0.06483433415035053
63,1.1557827963823541,0.7550490478938258,1.1901454075402476,0.691052335396736,0.691052335396736,0.8778840742824986,0.09614273116004894,0.050484331426180966,0.0371356140316625,0.03784857424127739,0.027014899080349902,0.01647734461866995,0.026369842831155416,0.2260772034589516,0.06469381760603708
64,1.1488803700729775,0.7585112521638777,1.1767900330954202,0.7073719752391672,0.7073719752391672,0.8829487900956668,0.09604761767392486,0.05384775726867202,0.03777208911035819,0.037990501846078176,0.026924262459969584,0.016475785151334944,0.026446499796024703,0.22668787262356474,0.06527404824124092
65,1.1380751806696943,0.7556260819388344,1.1695657251528027,0.7006190208216094,0.7006190208216094,0.8773213280810355,0.09676486466918764,0.055129543076464324,0.0378998740802149,0.037652258312775,0.026790684532050083,0.0161794077678002,0.02637886812409345,0.2275414843654429,0.06554212311600355
66,1.088019526128538,0.7756780150028851,1.1338042473679433,0.7152504220596511,0.7152504220596511,0.8784468204839617,0.09957148455542764,0.054603654543925524,0.03769713863724959,0.03757127594237929,0.02686923008605739,0.01615385888786219,0.026341844353188048,0.22759868261169225,0.06580089620222274
67,1.096813512095943,0.7733698788228506,1.166843292198975,0.7039954980303883,0.7039954980303883,0.879572312886888,0.1013368405147326,0.052255376371000514,0.038323731052793554,0.038324620259068326,0.027389908628892734,0.016092008308239168,0.026496073543610874,0.22823894782191526,0.06605718831253163
68,1.0854915038112125,0.7784189267166762,1.119966217178868,0.7118739448508723,0.7118739448508723,0.8891389983117614,0.10106939496239926,0.05544759058264853,0.037723620902183744,0.03776947968729976,0.02671546983233885,0.015857153107838223,0.02643955555637474,0.22840519401137246,0.06617843233030694
69,1.0517526283396157,0.7841892671667628,1.1338328807343283,0.706809229037704,0.706809229037704,0.8739448508722566,0.1022444176389321,0.05699379244119183,0.038158776322007544,0.03791973360439625,0.026634561760623652,0.015872997971783674,0.026592366886315576,0.22899638073533812,0.06667662842007359
70,1.0409155617948223,0.7841892671667628,1.167486467035362,0.6983680360157569,0.6983680360157569,0.8773213280810355,0.10342742341353746,0.057372920721597456,0.038184079298760665,0.037910809419253816,0.02660509797811865,0.015586094338442814,0.026524206844613964,0.22894129528552193,0.06681899091248085
71,1.0350605448774537,0.7960184650894403,1.0932810689853045,0.7214406302757457,0.7214406302757457,0.8840742824985931,0.10368952009184831,0.05788126522267751,0.03804624802927025,0.038137896348626625,0.02653716751956745,0.015391880219528762,0.026450647396324852,0.2297078965066973,0.06698031516681763
72,1.0181358737791562,0.793133294864397,1.0876017452923439,0.7253798536859877,0.7253798536859877,0.8936409679234665,0.10505906114126444,0.05696056732069536,0.038765150735794694,0.03805526146877937,0.02676202751181803,0.01543976539392357,0.02662275651055322,0.22983539592098556,0.06718749825047679
73,0.9878077215526894,0.8062608193883439,1.0915407598219111,0.7169386606640406,0.7169386606640406,0.8863252673044457,0.10560728326374023,0.05864896256556299,0.03909129232396591,0.038375688629039555,0.026568468095272073,0.015407794414940381,0.02660414410514095,0.23007580297186808,0.06754742954619128
74,0.9711731819408025,0.8069821119446048,1.0963901675686307,0.7208778840742825,0.7208778840742825,0.8857625211029826,0.10730416436908125,0.057224234095743745,0.0395527541490452,0.03810393284066754,0.026482360632915997,0.01541665139241135,0.02640603001659111,0.23033190973860562,0.06760275465438273
75,0.9633620019052543,0.8100115406809002,1.1132913466225558,0.7175014068655037,0.7175014068655037,0.8790095666854248,0.108839715010119,0.0563487489745864,0.039551297023013306,0.038657875664307784,0.026684395042553575,0.01530069125135714,0.026429814165388785,0.23081207993237976,0.06782807713296322
76,0.934837526103617,0.8172244662435084,1.091543860783625,0.7203151378728193,0.7203151378728193,0.8880135059088351,0.10926994754788485,0.05823267624681615,0.03966155945629888,0.038809813670923815,0.02649277298183229,0.015283846691667971,0.026443398012892794,0.23124431217451336,0.06817979084785376
77,0.9421827911368154,0.8152048470859781,1.066406174383289,0.7326955543050084,0.7326955543050084,0.8902644907146877,0.10902598982237412,0.05838894475891022,0.039366335025891486,0.0386604394693948,0.02666016316181387,0.015205903148114477,0.02645456989335394,0.23132493361928116,0.06813590986239176
78,0.9217936087919629,0.8263127524523947,1.0433383450045715,0.7298818232976927,0.7298818232976927,0.8942037141249296,0.10939487186731568,0.060757110865562486,0.03991629388002481,0.038326634708639076,0.026488054687568284,0.0150643042735421,0.026405920792865942,0.2316011172426582,0.06849428853977207
